1008.9480	1.750e2
1008.9610	1.420e2
1008.9740	1.790e2
1008.9870	2.060e2
1009.0000	2.230e2
1009.0130	1.810e2
1009.0260	2.980e2
1009.0391	2.150e2
1009.0521	2.460e2
1009.0651	1.560e2
1009.0781	2.250e2
1009.0911	2.600e2
1009.1041	2.510e2
1009.1171	2.400e2
1009.1301	2.100e2
1009.1431	7.130e2
1009.1561	5.370e2
1009.1691	1.354e3
1009.1821	3.010e2
1009.1951	3.330e2
1009.2081	2.870e2
1009.2211	1.490e2
1009.2341	1.430e2
1009.2472	1.690e2
1009.2602	1.910e2
1009.2732	2.300e2
1009.2862	3.450e2
1009.2992	3.670e2
1009.3122	2.090e2
1009.3253	1.950e2
1009.3383	2.580e2
1009.3513	2.780e2
1009.3643	1.570e2
1009.3773	1.020e2
1009.3903	2.730e2
1009.4033	2.320e2
1009.4163	1.960e2
1009.4293	3.320e2
1009.4423	1.790e2
1009.4553	1.970e2
1009.4683	2.650e2
1009.4813	3.220e2
1009.4943	3.020e2
1009.5073	1.550e2
1009.5203	1.980e2
1009.5334	9.100e1
1009.5464	1.890e2
1009.5594	9.600e1
1009.5724	1.460e2
1009.5854	1.350e2
1009.5984	1.110e2
1009.6115	2.090e2
1009.6245	1.560e2
1009.6375	5.900e1
1009.6505	1.320e2
1009.6635	9.300e1
1009.6765	1.170e2
1009.6895	3.300e1
1009.7025	8.000e1
1009.7155	9.400e1
1009.7285	3.000e2
1009.7415	1.040e2
1009.7546	3.500e2
1009.7676	7.960e2
1009.7806	2.043e3
1009.7936	4.604e3
1009.8066	5.624e3
1009.8196	5.834e3
1009.8326	6.034e3
1009.8457	6.134e3
1009.8587	3.642e3
1009.8717	1.369e3
1009.8847	4.690e2
1009.8977	4.110e2
1009.9107	3.020e2
1009.9237	2.740e2
1009.9368	1.520e2
1009.9498	1.400e2
1009.9628	2.510e2
1009.9758	2.330e2
1009.9888	1.760e2
1010.0018	1.380e2
1010.0148	1.280e2
1010.0279	1.110e2
1010.0409	7.500e1
1010.0539	1.190e2
1010.0669	2.560e2
1010.0799	3.810e2
1010.0929	6.150e2
1010.1060	9.490e2
1010.1190	2.632e3
1010.1320	6.389e3
1010.1450	7.102e3
1010.1580	7.475e3
1010.1710	9.158e3
1010.1840	7.819e3
1010.1970	3.271e3
1010.2101	1.245e3
1010.2231	5.510e2
1010.2361	3.000e2
1010.2491	2.380e2
1010.2621	2.570e2
1010.2751	2.250e2
1010.2881	3.440e2
1010.3011	2.100e2
1010.3141	1.930e2
1010.3272	2.980e2
1010.3402	2.800e2
1010.3532	2.890e2
1010.3662	2.470e2
1010.3792	2.450e2
1010.3923	2.450e2
1010.4053	2.750e2
1010.4183	2.670e2
1010.4313	4.800e2
1010.4443	1.269e3
1010.4574	2.602e3
1010.4704	4.964e3
1010.4834	4.920e3
1010.4964	5.350e3
1010.5094	6.435e3
1010.5225	4.292e3
1010.5355	2.103e3
1010.5485	6.110e2
1010.5615	1.660e2
1010.5745	2.180e2
1010.5875	1.990e2
1010.6005	2.320e2
1010.6135	1.390e2
1010.6265	1.920e2
1010.6396	1.830e2
1010.6526	1.070e2
1010.6656	1.730e2
1010.6786	1.320e2
1010.6917	1.950e2
1010.7047	2.020e2
1010.7177	3.530e2
